Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,542,0,9800.0,9292.584889114374,669.0774999997302,10710.32169999944,243.0,3.013987737366824,0.0,9800,10000,10000,10000,10000,10000,10000,11000,11000,11000,11000
,Aggregated,542,0,9800.0,9292.584889114374,669.0774999997302,10710.32169999944,243.0,3.013987737366824,0.0,9800,10000,10000,10000,10000,10000,10000,11000,11000,11000,11000
