Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,94,30,51000.0,49219.372325534736,11568.918299977668,68910.43190006167,165.4468085106383,0.5226705702039997,0.166809756448085,52000,55000,58000,59000,63000,65000,68000,69000,69000,69000,69000
,Aggregated,94,30,51000.0,49219.372325534736,11568.918299977668,68910.43190006167,165.4468085106383,0.5226705702039997,0.166809756448085,52000,55000,58000,59000,63000,65000,68000,69000,69000,69000,69000
