Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/numericalintegralfunction,6150,0,620.0,842.0632006341424,262.78540000203066,4221.377699999721,276.0,34.16699006466204,0.0,620,850,930,1000,1500,2000,2700,3000,3800,4200,4200
,Aggregated,6150,0,620.0,842.0632006341424,262.78540000203066,4221.377699999721,276.0,34.16699006466204,0.0,620,850,930,1000,1500,2000,2700,3000,3800,4200,4200
